,roomId,accommodationId,name,checkIn,checkOut,defaultPeople,maxPeople
102,103,15,배그 풀옵 2PC룸(I5-9400/16G/RTX2060/144hz/...,21.0,12,2,2
103,104,15,스위트 이벤트룸(기존4인/노래방/노하드 배틀...,21.0,12,2,2
104,105,15,Standard(도보전용),17.0,14,2,2
105,106,15,Deluxe A,17.0,14,2,2
106,107,15,Deluxe B,17.0,14,2,2
107,108,15,VIP,17.0,14,2,2
108,109,15,VIP Twin,17.0,14,2,2
109,110,15,배그 2PC룸(i5-7500/16G/GTX1060/144hz/넷플...,21.0,12,2,2
110,111,15,배그 1PC룸(I5-7500/16G/GTX1060/144hz/넷플...,21.0,12,2,2
111,112,15,이벤트룸,17.0,14,2,2
112,113,16,standard(도보전용),15.0,12,2,2
113,114,16,65인치 Cinema(넷플릭스 본인 계정 사용),15.0,12,2,2
114,115,16,75인치 Cinema(넷플릭스 본인 계정 사용),15.0,12,2,2
115,116,16,Twin(넷플릭스),15.0,12,2,2
116,117,16,안마의자 65인치 Cinema(넷플릭스 본인 계정 ...,15.0,12,2,2
117,118,17,Premier[객실랜덤]-와인무료제공 (연박예약 ...,16.0,12,2,2
118,119,17,Superior Suite[객실랜덤]-와인무료제공 (연...,16.0,12,2,2
119,120,17,Superior Suite [Late Check in & 객실랜덤](...,16.0,12,2,2
120,121,17,Premier [Late Check in & 객실랜덤]( 연박 ...,16.0,12,2,2
121,122,17,Classic [Late Check in & 객실랜덤]( 연박 ...,16.0,12,2,2
122,123,17,Classic[객실랜덤]-와인무료제공 (연박예약 ...,16.0,12,2,2
123,124,17,[선착순 룸 업그레이드] Premier를 Superior ...,16.0,12,2,2
124,125,17,[선착순 룸 업그레이드] Classic를 Premier ~...,16.0,12,2,2
125,126,17,[선착순 룸 업그레이드]Classic를 Superior S...,16.0,12,2,2
126,127,17,[호캉스 set] Classic-호텔 떡볶이+음료2잔 ...,16.0,12,2,2
127,128,17,[호캉스 set] Premier-호텔 떡볶이+음료2잔 o...,16.0,12,2,2
128,129,17,[호캉스 set] Suite-호텔 떡볶이+음료2잔 or ...,16.0,12,2,2
129,130,17,"Classic 무료주차(연박 예약불가,객실 랜덤배정)",16.0,12,2,2
130,131,17,"Classic[도보전용] ( 연박 예약불가, 객실 랜...",16.0,12,2,2
131,132,17,Classic [객실랜덤] (연박예약 가능),16.0,12,2,2
132,133,17,"14시 체크아웃 Classic [객실랜덤,연박불가]",16.0,12,2,2
133,134,17,Premier [객실랜덤] (연박예약 가능),16.0,12,2,2
134,135,17,"14시 체크아웃 Premier [객실랜덤,연박불가]",16.0,12,2,2
135,136,17,Superior Suite [객실랜덤] (연박예약 가능),16.0,12,2,2
136,137,17,"14시 체크아웃 Superior Suite [객실랜덤,연...",16.0,12,2,2
137,138,18,Deluxe with Spa,20.0,12,2,2
138,139,18,Deluxe,20.0,12,2,2
139,140,18,"Deluxe (객실랜덤,낮숙박)",20.0,12,2,2
140,141,18,Suite,20.0,12,2,2
141,142,18,"Suite (객실랜덤,낮숙박)",20.0,12,2,2
142,143,19,일반(넷플릭스),20.0,12,2,2
143,144,19,"일반(도보전용,주차불가)",20.0,12,2,2
144,145,19,특실(넷플릭스),20.0,12,2,2
145,146,19,VIP(넷플릭스),20.0,12,2,2
146,147,20,스탠다드 주차불가(선착순),18.0,12,2,2
147,148,20,스탠다드,18.0,12,2,2
148,149,20,디럭스,18.0,12,2,2
149,150,20,트윈(더블/싱글),18.0,12,2,2
150,151,20,스위트(더블/싱글),18.0,12,2,2
151,152,21,Deluxe(빠른입실/도보전용),22.0,12,2,2
152,153,21,Deluxe(빠른입실/주차전용),22.0,12,2,2
153,154,21,Deluxe(늦은입실/도보전용),22.0,12,2,2
154,155,21,Deluxe(늦은입실/주차전용),22.0,12,2,2
155,156,21,Deluxe(넷플릭스 전용),22.0,12,2,2
156,157,21,Deluxe Twin,22.0,12,2,2
157,158,21,Royal Suite(넷플릭스 전용),22.0,12,2,2
158,159,21,Suite(넷플릭스 전용),22.0,12,2,2
159,160,22,"야간대실 이벤트룸(넷플릭스 시청가능, 객실...",20.0,12,2,2
160,161,22,"당일특가 이벤트룸(넷플릭스 시청가능, 객실 ...",20.0,12,2,2
161,162,22,"빠른입실 이벤트룸(넷플릭스 시청가능, 객실 ...",20.0,12,2,2
162,163,22,"늦은퇴실 이벤트룸(넷플릭스 시청가능, 객실 ...",20.0,12,2,2
163,164,22,스탠다드(넷플릭스 시청가능),20.0,12,2,2
164,165,22,"무한대실 랜덤배정(스탠다드,디럭스객실 랜덤...",20.0,12,2,2
165,166,22,디럭스(넷플릭스 시청가능),20.0,12,2,2
166,167,22,스위트 트윈(넷플릭스 시청가능),20.0,12,2,2
167,168,22,스위트(넷플릭스 시청가능),20.0,12,2,2
168,169,23,"무한이벤트룸 (넷플릭스, 유튜브)",15.0,12,2,2
169,170,23,"무한디럭스 더블 (넷플릭스, 유튜브)",15.0,12,2,2
170,171,23,"무한비즈니스 더블 (넷플릭스, 유튜브)",15.0,12,2,2
171,172,23,"무한스위트 트윈 (넷플릭스, 유튜브)",15.0,12,2,2
172,173,23,"스위트 릴렉스 (넷플릭스, 유튜브)",15.0,12,2,2
173,174,23,"이벤트룸 (넷플릭스, 유튜브)",15.0,12,2,2
174,175,23,"디럭스 더블 (넷플릭스, 유튜브)",15.0,12,2,2
175,176,23,"디럭스 트윈 (넷플릭스, 유튜브)",15.0,12,2,2
176,177,23,"비즈니스 더블 (넷플릭스, 유튜브)",15.0,12,2,2
177,178,23,"비즈니스 트윈 (넷플릭스, 유튜브)",15.0,12,2,2
